Species,Country.of.Origin,Region,Producer,Number.of.Bags,In.Country.Partner,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,El Salvador,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,Salvadoran Coffee Council,2016,"March 29th, 2016",Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,7.5,82.67,0,1200,1200,1200
Arabica,"Tanzania, United Republic Of",karatu arusha,Nitin Coffee Estate,93,Africa Fine Coffee Association,2014,"December 18th, 2014",Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,7.58,82.67,0.12,1700,1700,1700
Arabica,"Tanzania, United Republic Of",mbinga,Taylor Winch (T) ltd,77,Africa Fine Coffee Association,2014,"December 15th, 2014",Washed / Wet,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,7.58,82.67,0.12,1550,1550,1550
Arabica,Mexico,la yerba,AVELINO CHAVEZ REYNA,11,AMECAFE,2014,"August 15th, 2014",Natural / Dry,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,7.58,82.67,0.11,1296,1296,1296
Arabica,Uganda,mt elgon,Kawacom Uganda Ltd,1,Uganda Coffee Development Authority,2013,"June 25th, 2014",Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,7.5,82.67,0.12,1400,1900,1650
Arabica,Thailand,phahi,Koju Matsuzawa,300,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Washed / Wet,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,7.5,82.67,0.11,1500,1500,1500
Arabica,Mexico,mahuixtlan,MARIA DE LOURDES ANCIRA ELIZONDO,23,AMECAFE,2012,"June 6th, 2012",Washed / Wet,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,7.58,82.67,0.12,950,950,950
Arabica,Guatemala,oriente,JESUS RAMIREZ,25,Asociacion Nacional Del Café,2017,"September 8th, 2017",Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,82.58,0.1,1219.2,1219.2,1219.2
Arabica,Indonesia,aceh,SMALL HOLDERS FARMER,150,Torch Coffee Lab Yunnan,2015,"September 15th, 2015",Semi-washed / Semi-pulped,7.83,7.58,7.42,7.33,7.42,7.5,10,10,10,7.5,82.58,0.13,1200,1300,1250
Arabica,Thailand,thailand,Doi Tung Development Project,1,Specialty Coffee Association,2014,"June 9th, 2015",Washed / Wet,7.75,7.33,7.42,7.67,7.42,7.5,10,10,10,7.5,82.58,0.12,800,800,800
Arabica,Thailand,chiangrai,"Coffeas Co., Ltd.",50,Specialty Coffee Institute of Asia,2014,"February 15th, 2015",Washed / Wet,7.42,7.58,7.58,7.42,7.58,7.5,10,10,10,7.5,82.58,0.12,1400,1500,1450
